Classifier,Featurelist,CV_Score,PublicAMS,PrivateAMS,time_train,time_pred,Settings,None,None,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81975,3.16799559613968,3.17911049034072,1.18500995635986,104.308071136474,threshold=0.7777,k=239,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81964,3.15697493073223,3.18226539165408,1.34711909294128,106.816157817840,threshold=0.7777,k=241,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81973,3.16400838765019,3.17989716395493,1.32207798957824,105.417088031768,threshold=0.7777,k=243,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81977,3.15752656680917,3.17624228820937,1.32205605506896,109.027292966842,threshold=0.7777,k=245,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81962,3.15907144231230,3.17772608533229,1.20410919189453,106.832119941711,threshold=0.7777,k=247,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81964,3.16858037512019,3.17817842946889,1.24311304092407,104.174963951110,threshold=0.7777,k=249,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81956,3.16403630840858,3.18172468047830,1.22411203384399,107.648165941238,threshold=0.7777,k=251,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81965,3.16212847141677,3.17640384778536,1.21606802940368,105.443078994750,threshold=0.7777,k=253,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81953,3.17659094350417,3.17858519829163,1.22106981277465,106.556197166442,threshold=0.7777,k=255,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81944,3.16941144594789,3.18323451660961,1.19210886955261,106.171081066131,threshold=0.7777,k=257,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81952,3.16740428131838,3.17614034825436,1.19006896018981,107.016169071197,threshold=0.7777,k=259,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.8195,3.17340389669448,3.17397925743158,1.19406700134277,107.950182914733,threshold=0.7777,k=261,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81932,3.18032963217141,3.17069180755410,1.19306993484497,107.661247014999,threshold=0.7777,k=263,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81932,3.17342117945865,3.17443780673850,1.17705202102661,106.597105979919,threshold=0.7777,k=265,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81937,3.16627409650329,3.17172180749317,1.19404315948486,107.951177835464,threshold=0.7777,k=267,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81932,3.16897246471736,3.17126276362777,1.18102884292602,107.733252048492,threshold=0.7777,k=269,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81925,3.15296539907871,3.17207923677683,1.17306399345397,108.249244928359,threshold=0.7777,k=271,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81916,3.17197401499222,3.17324014661135,1.18610692024230,110.007366895675,threshold=0.7777,k=273,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81918,3.16150681708262,3.17451098620083,1.18802690505981,104.453022003173,threshold=0.7777,k=275,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81906,3.16636335053237,3.16962328507279,1.20204114913940,109.521272897720,threshold=0.7777,k=277,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81892,3.16045791619813,3.17008440357737,1.20701193809509,110.459367990493,threshold=0.7777,k=279,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81891,3.16225526852646,3.16903827154765,1.17601513862609,110.689396858215,threshold=0.7777,k=281,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81877,3.17262661202208,3.17136474473518,1.19711089134216,111.136363029479,threshold=0.7777,k=283,p=1,None,None,None,None,None,None,None,None,None,None
